Citizen
20,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,7,0,0,0,0,0,0,0,3,4
GROWTHS,65,0,0,0,0,0,0,0,0,0
1,7,0,0,0,0,0,0,0,3,4
5,10,0,0,0,0,0,0,0,3,4
10,13,0,0,0,0,0,0,0,3,4

Wagon
28,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,10,0,0,2,2,0,2,0,5,6
GROWTHS,15,0,0,0,0,0,0,0,0,0
1,10,0,0,2,2,0,2,0,5,6
5,11,0,0,2,2,0,2,0,5,6
10,11,0,0,2,2,0,2,0,5,6

Myrmidon
73,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,11,3,1,6,7,0,1,1,5,5
GROWTHS,95,45,35,65,60,60,20,35,0,0
1,11,3,1,6,7,0,1,1,5,5
5,15,5,2,9,9,2,2,2,5,5
10,20,7,4,12,12,5,3,4,5,5

Swordmaster
120,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,16,5,2,6,7,0,3,2,6,6
GROWTHS,95,45,35,65,60,60,20,35,0,0
11,25,9,5,12,12,5,5,5,6,6
15,28,11,7,14,15,8,6,7,6,6
20,33,13,8,18,18,11,7,8,6,6

PROMOTE,5,2,1,0,0,0,2,1,1,1,13
CAPS,40,16,15,19,20,20,15,17,20,20

Mercenary
71,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,14,3,0,5,5,0,3,0,6,5
GROWTHS,105,60,15,55,45,40,25,15,0,0
1,14,3,0,5,5,0,3,0,6,5
5,18,5,1,7,7,2,4,1,6,5
10,23,8,1,10,9,4,5,1,6,5

Vanguard
120,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,18,4,0,7,7,0,5,2,8,6
GROWTHS,105,60,15,55,45,40,25,15,0,0
11,27,9,1,12,11,4,7,3,8,6
15,32,12,2,14,13,5,8,4,8,6
20,37,15,3,17,15,7,10,5,8,6

PROMOTE,4,1,0,2,2,0,2,2,2,1,16
CAPS,40,17,15,19,17,20,17,15,20,20

Thief
62,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,11,2,1,2,6,0,1,1,4,6
GROWTHS,65,40,35,60,65,55,5,35,0,0
1,11,2,1,2,6,0,1,1,4,6
5,14,4,2,4,9,2,1,2,4,6
10,17,6,4,7,12,5,1,4,4,6

Assassin
108,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,14,4,2,5,8,0,3,3,5,7
GROWTHS,65,40,35,60,65,55,5,35,0,0
11,20,8,5,10,14,5,3,6,5,7
15,22,9,7,13,16,7,4,8,5,7
20,26,11,8,16,20,10,4,9,5,7

PROMOTE,3,2,1,3,2,0,2,2,1,1,17
CAPS,40,15,15,20,20,20,15,15,20,20

Soldier
65,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,13,2,0,4,0,0,0,0,7,5
GROWTHS,105,65,15,65,60,35,35,20,0,0
1,13,2,0,4,0,0,0,0,7,5
5,17,5,1,7,2,1,1,1,7,5
10,22,8,1,10,5,3,3,2,7,5

Halberdier
120,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,17,3,1,6,2,0,5,2,9,6
GROWTHS,105,65,15,65,60,35,35,20,0,0
11,26,9,2,12,7,3,8,4,9,6
15,31,11,3,14,10,5,10,5,9,6
20,36,15,4,18,13,6,11,6,9,6

PROMOTE,4,1,1,2,2,0,5,2,2,1,20
CAPS,40,18,15,20,17,20,19,17,20,20

Cavalier
68,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,12,3,0,2,3,0,4,0,7,7
GROWTHS,100,45,5,55,35,40,20,30,0,0
1,12,3,0,2,3,0,4,0,7,7
5,16,5,0,4,4,2,5,1,7,7
10,21,7,0,7,6,4,6,3,7,7

Paladin
112,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,14,4,0,4,5,0,6,5,8,8
GROWTHS,100,45,5,55,35,40,20,30,0,0
11,23,8,0,9,8,4,8,8,8,8
15,27,10,1,11,10,5,9,9,8,8
20,32,12,1,14,11,7,10,10,8,8

PROMOTE,2,1,0,2,2,0,2,5,1,1,16
CAPS,40,17,15,18,17,20,17,18,20,20

Knight
68,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,11,3,0,2,1,0,6,1,9,4
GROWTHS,105,55,15,40,20,35,55,35,0,0
1,11,3,0,2,1,0,6,1,9,4
5,15,5,1,4,2,1,8,2,9,4
10,20,8,1,6,3,3,11,4,9,4

General
120,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,17,6,0,4,4,0,8,4,10,5
GROWTHS,105,55,15,40,20,35,55,35,0,0
11,26,11,1,8,6,3,13,7,10,5
15,31,13,2,9,7,5,15,9,10,5
20,36,16,3,11,8,6,18,10,10,5

PROMOTE,6,3,0,2,3,0,2,3,1,1,21
CAPS,40,19,15,18,15,20,20,17,20,20

Skirmisher
67,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,9,2,2,3,4,0,1,2,4,6
GROWTHS,85,45,35,55,105,45,20,45,0,0
1,9,2,2,3,4,0,1,2,4,6
5,12,4,3,5,8,2,2,4,4,6
10,17,6,5,8,13,4,3,6,4,6

Dragoon
116,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,14,4,2,3,4,0,4,4,7,7
GROWTHS,85,45,35,55,105,45,20,45,0,0
11,22,8,5,8,13,4,6,8,7,7
15,25,10,7,10,18,6,7,10,7,7
20,29,12,8,13,20,8,8,12,7,7

PROMOTE,5,2,0,0,0,0,2,2,3,1,15
CAPS,40,17,15,17,20,20,15,15,20,20

Fighter
66,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,13,3,0,1,3,0,1,0,8,5
GROWTHS,120,75,15,45,40,20,25,20,0,0
1,13,3,0,1,3,0,1,0,8,5
5,18,6,1,3,5,1,2,1,8,5
10,24,10,1,5,7,2,3,2,8,5

Warrior
114,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,18,4,0,3,3,0,4,2,10,6
GROWTHS,120,75,15,45,40,20,25,20,0,0
11,29,11,1,7,7,2,6,4,10,6
15,34,14,2,9,8,3,7,5,10,6
20,40,18,3,11,10,4,9,6,10,6

PROMOTE,3,1,0,2,0,0,3,2,2,1,14
CAPS,40,20,15,19,17,20,17,15,20,20

Archer
62,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,12,3,0,2,3,0,2,0,5,5
GROWTHS,95,45,40,55,45,45,20,25,0,0
1,12,3,0,2,3,0,2,0,5,5
5,16,5,2,4,5,2,3,1,5,5
10,21,7,4,7,7,4,4,2,5,5

Sniper
110,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,16,6,1,4,5,0,4,3,6,6
GROWTHS,95,45,40,55,45,45,20,25,0,0
11,25,10,5,9,9,4,6,5,6,6
15,28,12,6,11,11,6,7,6,6,6
20,33,14,8,14,13,8,8,8,6,6

PROMOTE,4,3,1,2,2,0,2,3,1,1,19
CAPS,40,17,15,20,19,20,17,16,20,20

Tactician
59,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,10,0,1,2,3,0,1,2,4,5
GROWTHS,55,20,40,60,75,50,15,40,0,0
1,10,0,1,2,3,0,1,2,4,5
5,12,1,3,4,6,2,2,4,4,5
10,15,2,5,7,10,5,2,6,4,5

Strategist
103,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,13,0,3,3,3,0,3,5,5,7
GROWTHS,55,20,40,60,75,50,15,40,0,0
11,18,2,7,8,10,5,4,9,5,7
15,20,3,8,11,13,7,5,10,5,7
20,23,4,10,14,17,9,6,12,5,7

PROMOTE,3,0,2,1,0,0,2,3,1,2,14
CAPS,40,15,15,17,19,20,16,17,20,20

Cleric
59,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,11,0,1,1,1,0,0,4,4,5
GROWTHS,65,15,40,55,45,70,15,65,0,0
1,11,0,1,1,1,0,0,4,4,5
5,14,1,3,3,3,3,1,7,4,5
10,17,1,5,6,5,6,1,10,4,5

Oracle
107,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,14,0,3,3,2,0,3,6,5,6
GROWTHS,65,15,40,55,45,70,15,65,0,0
11,20,1,7,8,6,6,4,12,5,6
15,22,2,8,10,8,9,5,14,5,6
20,26,3,10,13,10,13,6,18,5,6

PROMOTE,3,0,2,2,1,0,3,2,1,1,15
CAPS,40,15,17,19,17,20,15,20,20,20

Mage
60,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,11,0,1,1,2,0,1,2,4,5
GROWTHS,75,15,65,45,65,40,20,45,0,0
1,11,0,1,1,2,0,1,2,4,5
5,14,1,4,3,5,2,2,4,4,5
10,18,1,7,5,8,4,3,6,4,5

Sage
107,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,15,0,3,2,2,0,4,5,5,6
GROWTHS,75,15,65,45,65,40,20,45,0,0
11,22,1,9,6,8,4,6,9,5,6
15,25,2,11,8,10,5,7,11,5,6
20,29,3,15,10,14,7,8,13,5,6

PROMOTE,4,0,2,1,0,0,3,3,1,1,15
CAPS,40,15,19,17,18,20,15,18,20,20

Shaman
57,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,11,1,2,1,1,0,1,3,5,4
GROWTHS,65,20,65,45,40,25,25,55,0,0
1,11,1,2,1,1,0,1,3,5,4
5,14,2,5,3,3,1,2,5,5,4
10,17,3,8,5,5,2,3,8,5,4

Warlock
104,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,15,1,4,3,4,0,3,5,6,5
