pose;Attack
f;3;Dust1
f;3;Dust2
f;3;Dust3
f;3;Dust4
f;3;Dust5
f;3;Dust6
f;3;Dust7
f;3;Dust8
f;3;Dust9
f;3;Dust10
f;3;Dust11
f;3;Dust12
f;3;Dust13
f;3;Dust14
f;3;Dust15
f;3;Dust16
f;3;Dust17
f;3;Dust18
f;3;Dust19
f;3;Dust20
f;3;Dust21
f;3;Dust22
f;3;Dust23
f;3;Dust24
f;3;Dust25
f;3;Dust26
f;3;Dust27
f;3;Dust28
f;3;Dust29
f;3;Dust30
f;3;Dust31
f;3;Dust32
f;3;Dust33
f;3;Dust34
f;3;Dust35
f;3;Dust36
f;3;Dust37
f;3;Dust38
f;3;Dust39
f;3;Dust40
f;3;Dust41
f;3;Dust42
f;3;Dust43
f;3;Dust44
f;3;Dust45
f;3;Dust46
f;3;Dust47
f;3;Dust48
f;3;Dust49
f;3;Dust50
f;3;Dust51
f;3;Dust52
f;3;Dust53
f;3;Dust54
f;3;Dust55
f;3;Dust56
f;3;Dust57
f;3;Dust58
f;3;Dust59
f;3;Dust60
f;3;Dust61
f;3;Dust62
f;3;Dust63
f;3;Dust64
f;3;Dust65
f;3;Dust66
f;3;Dust67
f;3;Dust68
f;3;Dust69
f;3;Dust70
f;3;Dust71
f;3;Dust72
wait;1
