Sword_000;0,8;18,35;140,69
Sword_001;18,9;18,34;140,70
Sword_002;36,9;21,34;140,70
Sword_003;57,9;25,34;139,70
Sword_004;82,14;27,29;137,75
Sword_005;109,0;67,43;85,61
Sword_006;176,9;34,34;92,70
Sword_006_under;210,37;8,6;84,78
Sword_007;218,10;32,33;92,71
Sword_007_under;250,37;8,6;84,78
Sword_008;258,9;32,34;92,70
Sword_008_under;290,37;8,6;84,78
Sword_009;298,6;40,37;86,67
Sword_010;338,11;40,32;95,72
Sword_011;378,13;40,30;95,74
Sword_012;418,18;33,25;95,79
Sword_013;451,19;32,24;96,80
Sword_014;483,19;27,24;99,80
Sword_015;510,16;23,27;103,77
Sword_016;533,12;27,31;116,73
Sword_017;560,9;23,34;132,70
Sword_018;583,9;19,34;137,70
Sword_019;602,13;18,30;141,74
Sword_020;620,9;21,34;140,70
Sword_021;641,8;18,35;140,69
Sword_022;659,8;18,35;140,69
Sword_023;677,8;18,35;140,69
Sword_024;695,8;21,35;140,69
Sword_025;716,8;19,35;140,69
Sword_026;735,8;20,35;140,69
Sword_027;755,8;21,35;140,69
Sword_028;776,10;48,33;92,71
Sword_028_under;824,37;8,6;84,78
Sword_034;832,1;52,42;141,70
Sword_035;884,12;36,31;157,82
Sword_036;920,9;42,34;84,70
Sword_037;962,10;40,33;84,71
Sword_038;1002,9;40,34;84,70
