Lance_000;0,23;38,40;133,65
Lance_057;38,23;38,40;133,65
Lance_058;76,23;42,40;134,64
Lance_059;118,23;41,40;134,64
Lance_060;159,23;42,40;133,64
Lance_061;201,24;43,39;131,65
Lance_062;244,26;73,37;98,67
Lance_063;317,26;40,37;130,67
Lance_064;357,26;38,37;130,67
Lance_065;395,29;39,34;130,70
Lance_066;434,28;38,35;131,69
Lance_067;472,24;43,39;132,65
Lance_068;515,23;42,40;134,64
Lance_069;557,23;41,40;135,64
Lance_070;598,23;42,40;134,64
Lance_071;640,23;38,40;133,65
Lance_072;678,23;38,40;133,65
Lance_073;716,18;48,45;128,60
Lance_074;764,5;43,58;127,47
Lance_075;807,2;48,61;127,44
Lance_076;855,2;41,61;133,44
Lance_077;896,0;44,63;134,42
Lance_078;940,10;51,53;149,52
Lance_079;991,14;49,49;149,56
Lance_080;1040,23;49,40;150,65
Lance_081;1089,14;37,49;152,56
Lance_082;1126,10;46,53;151,52
Lance_083;0,91;50,49;151,56
Lance_084;50,74;34,66;162,39
Lance_085;84,64;35,76;157,30
Lance_086;119,63;43,77;145,28
Lance_087;162,66;46,74;141,30
Lance_088;208,69;50,71;136,32
Lance_089;258,75;60,65;129,39
Lance_090;318,76;57,64;129,39
Lance_091;375,93;67,47;109,60
Lance_092;442,95;40,45;144,60
Lance_093;482,100;42,40;144,65
Lance_094;524,104;43,36;144,69
Lance_095;567,106;39,34;143,71
Lance_096;606,106;33,34;144,71
Lance_097;639,104;36,36;141,71
Lance_098;675,104;31,36;138,69
Lance_099;706,100;38,40;133,65
Lance_100;744,100;38,40;133,65
Lance_102;782,92;51,48;137,57
Lance_103;833,90;33,50;157,55
