pose;Attack
f;1;Boulder0
f;1;Boulder1
f;1;Boulder2
f;1;Boulder3
f;1;Boulder4
f;1;Boulder5
f;1;Boulder6
f;1;Boulder7
f;1;Boulder8
f;1;Boulder9
f;1;Boulder10
f;1;Boulder11
f;1;Boulder12
f;1;Boulder13
f;1;Boulder14
f;1;Boulder15
f;1;Boulder16
f;1;Boulder17
f;1;Boulder18
f;1;Boulder19
f;1;Boulder20
f;1;Boulder21
f;1;Boulder22
f;1;Boulder23
f;1;Boulder24
f;1;Boulder25
f;1;Boulder26
f;1;Boulder27
f;1;Boulder28
f;1;Boulder29
f;1;Boulder30
f;1;Boulder31
f;1;Boulder32
f;1;Boulder33
f;1;Boulder34
f;1;Boulder35
f;1;Boulder36
f;1;Boulder37
f;1;Boulder38
f;1;Boulder39
f;1;Boulder40
f;1;Boulder41
f;1;Boulder42
f;1;Boulder43
f;1;Boulder44
f;1;Boulder45
f;1;Boulder46
f;1;Boulder47
f;1;Boulder48
f;1;Boulder49
f;1;Boulder50
f;1;Boulder51
f;1;Boulder52
f;1;Boulder53
f;1;Boulder54
f;1;Boulder55
f;1;Boulder56
f;1;Boulder57
f;1;Boulder58
f;1;Boulder59
f;1;Boulder60
f;1;Boulder61
f;1;Boulder62
f;1;Boulder63
f;1;Boulder64
f;1;Boulder65
f;1;Boulder66
f;1;Boulder67
f;1;Boulder68
f;1;Boulder69
f;1;Boulder70
f;1;Boulder71
f;1;Boulder72
f;1;Boulder73
f;1;Boulder74
f;1;Boulder75
f;1;Boulder76
f;1;Boulder77
f;1;Boulder78
f;1;Boulder79
f;1;Boulder80
f;1;Boulder81
f;1;Boulder82
f;1;Boulder83
f;1;Boulder84
f;1;Boulder85
wait;1
