pose;Dodge
f;1;Magic_000
f;3;Magic_081
f;27;Magic_082
f;4;Magic_081

pose;Attack
f;6;Magic_000
f;6;Magic_001
f;5;Magic_002
f;14;Magic_003
sound;ShamanRune
f;2;Magic_004
f;2;Magic_005
f;2;Magic_006
f;2;Magic_007
f;2;Magic_008
f;2;Magic_005
f;2;Magic_009
f;2;Magic_007
f;2;Magic_010
f;2;Magic_007
f;2;Magic_011
f;2;Magic_012
f;2;Magic_009
f;2;Magic_011
f;2;Magic_012
f;2;Magic_013
f;2;Magic_014
f;2;Magic_015
f;2;Magic_016
f;2;Magic_017
f;2;Magic_018
f;2;Magic_019
f;2;Magic_020
f;2;Magic_021
f;2;Magic_022
f;3;Magic_023
f;2;Magic_024
f;3;Magic_025
f;2;Magic_026
f;3;Magic_027
f;2;Magic_028
f;3;Magic_023
f;2;Magic_029
f;3;Magic_025
f;2;Magic_030
f;3;Magic_027
f;2;Magic_031
f;3;Magic_023
f;2;Magic_032
f;3;Magic_025
f;2;Magic_033
f;3;Magic_027
f;2;Magic_034
f;3;Magic_023
f;2;Magic_035
f;2;Magic_025
f;2;Magic_036
f;2;Magic_027
f;2;Magic_037
f;1;Magic_038
f;3;Magic_039
spell
f;1;Magic_039
f;1;Magic_040
start_loop
    f;5;Loop2
    f;5;Loop3
    f;6;Loop1
end_loop
f;4;Magic_040
f;6;Magic_041
f;5;Magic_042
f;4;Magic_043

pose;Critical
f;6;Magic_000
f;6;Magic_001
f;5;Magic_002
f;18;Magic_003
f;3;Magic_044
sound;ShamanRune
f;1;Magic_044
f;3;Magic_045
f;3;Magic_046
f;3;Magic_047
f;3;Magic_048
f;3;Magic_049
f;3;Magic_050
f;3;Magic_051
f;3;Magic_052
f;3;Magic_053
f;3;Magic_054
f;3;Magic_055
f;3;Magic_056
f;3;Magic_057
f;3;Magic_058
f;2;Magic_059
f;2;Magic_060
f;2;Magic_061
f;2;Magic_062
f;2;Magic_063
f;2;Magic_064
f;2;Magic_065
f;2;Magic_066
f;2;Magic_067
f;2;Magic_068
f;1;Magic_069
f;1;Magic_068
f;1;Magic_069
f;2;Magic_070
f;1;Magic_071
f;1;Magic_070
f;1;Magic_071
f;2;Magic_072
f;1;Magic_073
f;1;Magic_072
f;1;Magic_073
f;2;Magic_068
f;1;Magic_069
f;1;Magic_068
f;1;Magic_069
f;2;Magic_070
f;1;Magic_071
f;1;Magic_070
f;1;Magic_071
f;2;Magic_072
f;1;Magic_073
f;1;Magic_072
f;1;Magic_073
f;2;Magic_068
f;1;Magic_069
f;1;Magic_068
f;1;Magic_069
f;1;Magic_074
f;1;Magic_075
f;2;Magic_074
f;1;Magic_075
f;1;Magic_076
f;1;Magic_077
f;2;Magic_076
f;1;Magic_077
f;1;Magic_078
f;1;Magic_079
f;2;Magic_078
f;1;Magic_079
f;1;Magic_025
f;1;Magic_080
f;1;Magic_039
f;2;Magic_038
f;1;Magic_039
spell
f;1;Magic_039
f;1;Magic_040
start_loop
    f;5;Loop2
    f;5;Loop3
    f;6;Loop1
end_loop
f;4;Magic_040
f;6;Magic_041
f;5;Magic_042
f;4;Magic_043

pose;Stand
f;4;Magic_000

