Attack1;0,6;24,35;136,69
Attack2;24,6;26,35;135,69
Attack3;50,5;27,36;135,68
Attack4;77,5;27,36;135,68
Attack5;104,5;29,36;134,68
Attack6;133,5;29,36;134,68
Attack7;162,5;29,36;134,68
Attack8;191,5;29,36;134,68
Attack9;220,5;29,36;134,68
Attack10;249,5;29,36;134,68
Attack11;278,5;29,36;134,68
Attack12;307,5;29,36;134,68
Attack13;336,5;29,36;134,68
Attack14;365,5;32,36;132,68
Attack15;397,5;32,36;132,68
Attack16;429,5;29,36;134,68
Attack17;458,5;32,36;132,68
Attack18;490,5;32,36;132,68
Attack19;522,5;35,36;131,68
Attack20;557,5;35,36;131,68
Attack21;592,5;37,36;132,68
Attack22;629,5;37,36;132,68
Attack23;666,5;37,36;132,68
Attack24;703,5;37,36;132,68
Attack25;740,5;46,36;127,68
Attack26;786,5;46,36;127,68
Attack27;832,3;47,38;128,66
Attack28;879,3;47,38;128,66
Attack29;926,0;50,41;129,63
Attack30;0,42;50,41;129,63
Attack31;50,41;48,42;129,62
Attack32;98,41;48,42;129,62
Attack33;146,41;49,42;129,62
Attack34;195,41;49,42;129,62
Attack35;244,42;50,41;129,63
Attack36;294,42;50,41;129,63
Attack37;344,41;48,42;129,62
Attack38;392,41;48,42;129,62
Attack39;440,41;49,42;129,62
Attack40;489,41;49,42;129,62
Attack41;538,42;50,41;129,63
Attack42;588,42;50,41;129,63
Attack43;638,41;48,42;129,62
Attack44;686,41;48,42;129,62
Attack45;734,41;49,42;129,62
Attack46;783,41;49,42;129,62
Attack47;832,42;50,41;129,63
Attack48;882,42;50,41;129,63
Attack49;932,41;48,42;129,62
Attack50;0,83;48,42;129,62
Attack51;48,83;49,42;129,62
Attack52;97,84;50,41;129,63
Attack53;147,84;50,41;129,63
Dodge1;197,89;29,36;135,68
Dodge2;226,90;24,35;139,68
End1;250,90;44,35;131,69
End2;294,90;37,35;132,69
End3;331,90;31,35;133,69
Loop1;362,84;50,41;129,63
Loop2;412,83;48,42;129,62
Loop3;460,83;49,42;129,62
Stand;509,90;25,35;135,69
