Magic_000;0,45;24,35;132,69
Magic_001;24,45;32,35;124,69
Magic_002;56,38;36,42;122,62
Magic_003;92,40;34,40;124,64
Magic_004;126,40;32,40;126,64
Magic_005;158,26;29,54;131,50
Magic_006;187,36;29,44;131,60
Magic_007;216,28;29,52;131,52
Magic_008;245,26;29,54;131,50
Magic_009;274,40;31,40;125,64
Magic_010;305,43;34,37;121,67
Magic_011;339,44;38,36;116,68
Magic_012;377,44;32,36;122,68
Magic_013;409,45;23,35;132,69
Magic_014;432,45;23,35;132,69
Magic_015;455,45;23,35;132,69
Magic_016;478,39;26,41;129,63
Magic_017;504,37;27,43;128,61
Magic_018;531,40;30,40;130,64
Magic_019;561,15;47,65;113,39
Magic_020;608,24;32,56;131,48
Magic_021;640,0;80,80;108,24
Magic_022;720,45;23,35;135,69
Magic_023;743,45;26,35;135,68
