pose;Attack
f;1;Shield0
f;1;Shield1
f;1;Shield2
f;1;Shield3
f;1;Shield4
f;1;Shield5
f;1;Shield6
f;1;Shield7
f;1;Shield8
f;1;Shield9
f;1;Shield10
f;1;Shield11
f;1;Shield12
f;1;Shield13
f;1;Shield14
f;1;Shield15
f;1;Shield16
f;1;Shield17
f;1;Shield18
f;1;Shield19
f;1;Shield20
f;1;Shield21
f;1;Shield22
f;1;Shield23
f;1;Shield24
f;1;Shield25
f;1;Shield26
f;1;Shield27
f;1;Shield28
f;1;Shield29
f;1;Shield30
f;1;Shield31
f;1;Shield32
f;1;Shield33
f;1;Shield34
f;1;Shield35
f;1;Shield36
f;1;Shield37
f;1;Shield38
f;1;Shield39
f;1;Shield40
f;1;Shield41
f;1;Shield42
f;1;Shield43
f;1;Shield44
f;1;Shield45
f;1;Shield46
f;1;Shield47
f;1;Shield48
f;1;Shield49
f;1;Shield50
f;1;Shield51
f;1;Shield52
f;1;Shield53
f;1;Shield54
f;1;Shield55
f;1;Shield56
f;1;Shield57
f;1;Shield58
f;1;Shield59
f;1;Shield60
f;1;Shield61
f;1;Shield62
f;1;Shield63
