max_items;5
max_stat;20
speed_to_double;4
normal_movement;1
flying_mcost_column;6
fleet_mcost_column;7
num_levels;11
exp_curve;0.22
exp_magnitude;11.7
kill_multiplier;2.5
support_points;12
line_of_sight;1
spell_line_of_sight;0
aura_los;1
simultaneous_aoe;1
def_double;0
support;0
max_level;10
enemy_leveling;3
rng;true_hit
num_skills;6
save_slots;3
music_main;Helms Deep - Start
music_game_over;Gate of Steiner
music_armory;All Aboard to Rogueport
music_vendor;All Aboard to Rogueport
attribution;created by rainlash
