pose;Attack
f;2;Arcwind1
f;1;Arcwind2
f;2;Arcwind3
f;2;Arcwind4
f;2;Arcwind5
f;2;Arcwind6
f;2;Arcwind7
f;2;Arcwind8
f;2;Arcwind9
f;2;Arcwind10
f;2;Arcwind11
f;2;Arcwind12
f;2;Arcwind13
f;2;Arcwind14
f;2;Arcwind15
f;2;Arcwind16
f;2;Arcwind17
f;2;Arcwind18
f;2;Arcwind19
f;2;Arcwind20
f;2;Arcwind21
f;1;Arcwind22
f;1;Arcwind23
f;1;Arcwind24
f;1;Arcwind25
f;1;Arcwind26
f;1;Arcwind27
f;1;Arcwind28
f;2;Arcwind29
f;2;Arcwind30
f;2;Arcwind31
f;2;Arcwind32
f;2;Arcwind33
f;2;Arcwind34
f;2;Arcwind35
f;1;Arcwind36
f;1;Arcwind37
f;1;Arcwind38
f;1;Arcwind39
f;1;Arcwind40
f;1;Arcwind41
f;1;Arcwind42
f;1;Arcwind43
f;1;Arcwind44
wait;1
